source,target
mi departamento tiene ventanas grandes,departamento mío ventana+ventana+ventana tener
la gente,gente
mi prima es amable,prima mía amable
tus amigas,amigo mujer ellas tuyas
¿dónde está el restaurante?,¿restaurante dónde?
las niñas juegan,niño mujer ellas jugar
mi hermano es miedoso,hermano mío miedoso así
¿a dónde fuiste ayer?,¿ayer tú ir dónde?
tus tenis son rosas,tenis tuyos rosas
hay dos peras en el plato,plato ahí dos peras haber
ustedes están alegres,ustedes alegres
yo vivo en México,México yo vivir
tu amigo está apenado,amigo tuyo apenado
no hay árboles,árboles haber no
mi amiga,amigo mujer mía
tu hermana,hermano mujer tuyo
tu tía está triste,tío mujer tuya triste
mi hermano es ingeniero,hermano mío ingeniero
tu perro es agresivo,perro tuyo agresivo así
tu abuela está masomenos,abuelo mujer tuya masomenos
el auto es plateado,auto plateado
tu hermana es científica,hermano mujer tuya científica
algunas mujeres,mujer algunas
los niños venden dulces,niño ellos dulces vender
le gusta aprender,ella aprender gustar
¿tu papá es oyente?,¿papá tuyo oyente?
tu prima quiere aprender lsm,primo mujer tuya lsm aprender querer
no me gusta pasear,yo pasear gustar no
¿a dónde fuiste la semana pasada?,¿semana pasada tú ir dónde?
vas,tú ir
los niños están masomenos,niño ellos masomenos
tu papá es médico,papá tuyo médico
nos gusta reír,nosotros reír gustar
mi hermana es ingeniera,hermano mujer mía ingeniera
a mi hermana no le gusta el café,hermano mujer mía café gustar no
mi amigo está enojado,amigo mío enojado
tu novia estaba leyendo un periódico ayer,ayer novio mujer tuya periódico leer
tu papá tiene una corbata azul,papá tuyo corbata azul tener
los autos,auto cl+cl+cl
no te agrada platicar,tú platicar gustar no
los niños van a la escuela semanalmente,lunes a viernes niño ellos escuela ir
ellas son profesoras,ellas profesoras
el cielo es azul,cielo azul
no entienden,ellos entender no
fueron,pasado ellos ir
mi amigo está mal,amigo mío mal
nosotros somos desesperados,nosotros desesperados así
tu mamá quiere aprender italiano,mamá tuya itlaliano aprender querer
no les gusta leer,ustedes leer gustar no
no me gusta sonreír,yo sonreír gustar no
¿tu mamá es oyente?,¿mamá tuya oyente?
a mi mamá no le gusta pasear,mamá mío pasear gustar no
mi mamá estaba leyendo una revista ayer,ayer mamá mía revista leer
el perro gris es tuyo,perro gris tuyo
queremos llorar,nosotros llorar querer
ellas irán a la universidad mañana,mañana ellas universidad ir
mi hermano es artista,hermano mío artista
tu novia quiere aprender inglés,novio mujer tuya inglés aprender querer
hay un problema,problema haber
no entienden el inglés,ellos inglés entender no
¿porqué llegaron tarde?,ellos llegar tarde porqué
las niñas venden zapatos,niño mujer ellas zapatos vender
tú eres gentil,tú gentil
no le gusta reír,el reír gustar no
a tu abuelo no le gusta el café,abuelo tuyo café gustar no
tu prima es científica,primo mujer tuya científica
yo estoy contento,yo contento
las licuadoras,licuadora+licuadora+licuadora
su familia,familia suya
mis tenis son negros,tenis míos negros
ellos irán a la fiesta,futuro ellos fiesta ir
mi prima está embarazada,primo mujer mía embarazada
el niño llora,niño llora
hola niño. Buenos días,hola niño. Buenos días
tu tía es artista,tío mujer tuya artista
no me gusta el sabor picante,yo sabor picante gustar no
tu prima estaba leyendo un libro ayer,ayer primo mujer tuya libro leer
"si, mi tía es sorda","si, tío mujer mía sorda"
yo estudiaré mañana,mañana yo estudiar
"no, mi amigo es sordo","no, amigo mío sordo"
lees un libro,tú libro leer
¿tu amiga es sorda?,¿amigo mujer tuya sorda?
corre,eso correr
yo bebo café diario,diario yo café tomar
mi amigo es tímido,amigo mío tímido así
"buenas tardes, ¿cuál es tu nombre?","buenas tardes, ¿tú nombre cuál?"
tu tía maneja un carro pequeño,tía tuya carro pequeño manejar
mi primo quiere aprender a dibujar,primo mío dibujar aprender querer
le agrada caminar,ella caminar gustar
mi amiga está masomenos,amigo mujer mía masomenos
tu novio está bien,novio tuyo bien
mi tía es desesperada,tío mujer mía desesperada así
hay seis libros en el estante,estante ahí libros seis haber
no hay café,café haber no
me gusta el sabor picante,yo sabor picante gustar
las niñas están preocupadas,niño mujer ellas preocupadas
nos gusta aprender,nosotros aprender gustar
nosotros iremos al museo mañana,mañana nosotros museo ir
mi tía entiende el español,tío mujer mía español entender
mi novio irá al restaurante,futuro novio mío restaurante ir
la semana pasada estaba en el hospital,semana pasada hospital yo estar
mi mamá está preocupada,mamá mía preocupada
mi tío está mal,tío mío mal
mi papá quiere aprender árabe,papá mío árabe aprender querer
no les gusta caminar,ellos caminar gustar no
tu abuelo estaba leyendo un libro ayer,ayer abuelo tuyo libro leer
quiero adoptar un perro,yo perro adoptar querer
las niñas leen un libro,niño mujer ellas nadar
él está enojado,él enojado
los árboles son verdes,arbol+arbol+arbol verdes
a tu hermana no le gusta el café,hermano mujer tuya café gustar no
mi sobrina quiere correr en la pista,pista ahí sobrino mujer mío correr
mis gatos están asustados,gato cl+cl+cl míos asustados
yo me quiero a mi misma,yo solita querer
él quiere trabajar,él trabajar querer
mi tía no entiende,tío mujer mía entender no
mi papá aprende lsm,papá mío lsm aprender
mi tío es tímido,tío mío tímido así
mi hermano está desesperado,hermano mío desesperado
mi hermana es médico,hermano mujer mía médico
mi amigo irá a la universidad la próxima semana,próxima semana amigo mío universidad ir
ellos trabajan de lunes a viernes,lunes a viernes ellos trabajar
mi primo juega futbol en la calle,primo mío futbol jugar
su primo,primo suyo
la casa de mi abuelo,abuelo mío casa suya
ellas viven en México,México ellas vivir
a tu abuela no le gusta el café,abuelo mujer tuya café gustar no
estás desesperado,tú desesperado
no queremos comer,nosotros comer no querer
mi hermana es alta,hermana alta
tu hermano es desesperado,hermano tuyo desesperado
ellos están bien,ellos bien
ellas quieren aprender español,ellas español aprender querer
mucho gusto conocerte,gustar conocer tú
fui a la escuela ayer,ayer escuela yo ir
nuestra amiga está apenada,amigo mujer nuestra apenada
yo fui a la universidad,pasado yo universidad ir
tu novia come pizza,novio mujer tuya pizza comer
estábamos ocupados ayer,ayer nosotros ocupados
él come ensalada,él ensalada comer
mi papá irá al banco mañana,mañana banco papá mío ir
las puertas,puerta+puerta+puerta
hija,hijo mujer
mi amiga es médico,amigo mujer mía médico
su casa es blanca,casa suya blanca
él está mal,él mal
lo gatos comen pescado,gato cl+cl+cl pescado comer
tu abuelo fue a la iglesia,pasado abuelo tuyo iglesia ir
nosotros somos médicos,nosotros médicos
nos gusta el chocolate,nosotros chocolate gustar
mi amiga es artista,amigo mujer mía artista
¿dónde está el mercado?,¿mercado dónde?
ellas están confundidas,ellas confundidas
son,ustedes ser
tu amigo es desesperado,amigo tuyo desesperado
a tu papá no le gusta el chocolate,papá tuyo chocolate gustar no
mi amiga estaba leyendo una revista ayer,ayer amigo mujer mío revista leer
ellos son felices,ellos felices así
ayer hacía calor,ayer calor
las niñas están apenadas,niño mujer ellas apenadas
ellos son amables,ellos amables
ella es arquitecta,ella arquitecta
mi tío come gelatina de fresa,tío mío gelatina frase comer
ustedes trabajan de lunes a viernes,lunes a viernes ustedes trabajar
mi hermana quiere aprender programación,hermano mujer mía programación aprender querer
el niño es feliz,niño feliz así
nuestra novia,novio mujer nuestra
mi tío está triste,tío mío triste
ustedes están tristes,ustedes tristes
¿qué harás el miércoles?,¿miércoles tú hacer qué?
tu novio es sordo,novio tuyo sordo
mi novio está distraído,novio mío distraído
los juguetes del perro,abuelo ellos míos
tu papá vive en México,México papá tuyo vivir
tu tío es científico,tío tuyo científico
ellas son médicos,ellas médicos
mi amiga está bien,amigo mujer mía bien
ustedes viven en México,México ustedes vivir
mi abuelo quiere aprender lsm,abuelo mío lsm aprender querer
tu amigo es artista,amigo tuyo artista
no me gusta el color morado,yo color morado gustar no
tu tío,tío tuyo
mi hijo quiere descansar,hijo mía descansar querer
mis autos,amigo mujer ellas mías
el mes pasado hizo mucho calor,mes pasado calor mucho
mi mamá estaba leyendo un libro ayer,ayer mamá mía libro leer
tu amiga es desesperada,amigo mujer tuya desesperada así
ella siempre está feliz,siempre ella feliz
los niños son altos,niño ellos altos
nosotros estamos felices,nosotros felices
mi tío es distraído,tío mío distraído así
quiere aprender lsm,él lsm aprender querer
hola niño. Buenas tardes,hola niño. Buenas tardes
tu perro juega con su peluche en la casa,casa ahí perro tuyo peluche jugar
vete,tú ir
quiere comer,él (ella) comer querer
mi abuelo quiere aprender inglés,abuelo mío inglés aprender querer
ustedes están desesperados,ustedes desesperados
mi abuelo está viejo,abuelo mío viejo
mi amigo está distraído,amigo mío distraído
no me gusta el café caliente,yo café caliente gustar no
mi novia está masomenos,novio mujer mía masomenos
mi tía no entiende el inglés,tío mujer mía inglés entender no
tu tío es tímido,tío tuyo tímido así
pocas puertas,puerta pocas
pocos árboles,árbol poco
mi novia irá a la universidad la próxima semana,próxima semana novio mujer mía universidad ir
tu abuela está confundida,abuelo mujer tuya confundida
ellos juegan futbol en la calle,calle ahí ellos futbol jugar
muchos autos,auto muchos
mi abuela está distraída,abuelo mujer mía distraída
mi hijo va a la escuela de lunes a viernes,lunes a viernes hijo mío escuela ir
tu mamá está enojada,mamá tuya enojada
¿qué están haciendo ?,¿ahorita ellos (ellas) ustedes hacer qué?
ellas son tímidas,ellas tímidas así
recibí un correo la semana pasada,semana pasada yo correo recibir
eres artista,tú artista
les gusta sonreír,ellos sonreír gustar
los niños son enojones,niño ellos enojones así
muchos hombres,hombre muchos
tu abuela está apenada,abuelo mujer tuya apenada
le gusta sonreír,el sonreír gustar
tu hermana quiere aprender árabe,hermano mujer tuya árabe aprender querer
no les gusta caminar,ustedes caminar gustar no
la playa está desierta,playa desierta
eres estudiante,tú estudiante
mi amigo estudia en la biblioteca,biblioteca ahí amigo mío estudiar
sobrinas,sobrino mujer ellas
mi hermano está preocupado,hermano mío preocupado
tu amiga es abogada,amigo mujer tuya abogada
mi amiga es tímida,amigo mujer tímida así
yo estudiaré italiano mañana,mañana yo italiano estudiar
mi sobrina quiere aprender lsm,sobrino mujer mía lsm aprender querer
tú eres miedosa,tú distraído así
tu papá es artista,papá tuyo artista
jugamos futbol en la calle,calle ahí nosotros futbol jugar
las niñas son enojonas,niño mujer ellas enojonas así
tu abuela está enojada,abuelo mujer tuya enojada
ellos quieren ir,ellos ir querer
ustedes son artistas,ustedes artistas
queremos adoptar un perro,nosotros perro adoptar querer
mi abuela quiere descansar,abuelo mujer mía descansar querer
tu abuelo estaba leyendo un periódico ayer,ayer abuelo tuyo periódico leer
las niñas gritan,niño mujer ellas gritar
yo soy amable,yo amable
tu novio estaba leyendo un libro ayer,ayer novio tuyo libro leer
tu tía quiere aprender alemán,tío mujer tuya alemán aprender querer
mi papá vive en México,México papá mío vivir
mi novia está distraída,novio mujer mía distraída
mi papá entiende las matemáticas,papá mío matemáticas entender
mi novio es sordo,novio mío sordo
tu prima es tímida,primo mujer tuya tímida así
tu papá,papá tuyo
te gusta aprender,tu aprender gustar
tú eres alta,tú alta
sus primos,primo mujer ellas tuyas
hola niño. Buenas noches,hola niño. Buenas noches
hay ocho libros en el estante,estante ahí ocho libros haber
nos desagrada caminar,nosotros caminar gustar no
mi novio está triste,novio mío triste
a mi tía no le gusta el café,tío mujer mía café gustar no
mi novia quiere aprender matemáticas,novio mujer mía matemáticas aprender querer
tú estás mal,tú mal
a tu tía le gusta el chocolate,tío mujer tuya chocolate gustar
la pelota es negra,pelota negra
ella no quiere un abrazo,ella abrazo no querer
mi primo es artista,primo mío artista
nosotros queremos llorar,nosotros llorar querer
ustedes no entienden,ustedes entender no
nosotros bebemos cerveza,nosotros cerveza beber
mi novia es distraída,novio mujer mía distraída así
mi amiga está alegre,amigo mujer mía alegre
mi novio está bien,novio mío bien
la niña es tímida,niño mujer tímida así
ellos son profesores,ellos profesores
mi amiga está apenada,amigo mujer mía apenada
no te gusta comer helado,tú comer helado gustar no
mi tía es ingeniera,tío mujer mía ingeniera
nuestro tío,tío nuestro
tu abuelo está enojado,abuelo tuyo enojado
su maestro,maestro suyo
mi amigo no entiende el español,amigo mío español entender no
tu primo es arquitecto,primo tuyo arquitecto
tu amiga es artista,amigo mujer tuya artista
hablaron ayer,ayer ustedes hablar
tu novia vive en México,México novio mujer tuya vivir
está lloviendo en la ciudad,ciudad ahí llover
tu amigo es arquitecto,amigo tuyo arquitecto
mi mamá es desesperada,mamá mía desesperada así
tu gato,gato tuyo
no te gusta leer,tú leer gustar no
tu primo es artista,primo tuyo artista
quieres comprar un auto,tú auto comprar querer
mi abuelo está enojado,abuelo mío enojado
algunos hombres,hombre algunos
las niñas irán al museo el próximo viernes,próximo viernes niños mujer ellas museo ir
a mi prima le gusta el café,primo mujer mía café gustar
quieres llorar,tú llorar querer
¿tu tío es sordo?,¿tío tuyo sordo?
ellas son miedosas,ellas miedosas así
mi tío estaba ocupado ayer,ayer tío mío ocupado
los niños son distraídos,niño ellos distraídos así
mi abuelo,abuelo mío
mi mamá come yogur,mamá mía yogur comer
nuestro amigo está mal,amigo nuestro mal
los niños están tristes,niño ellos tristes
mi hermano come pollo,hermano mío pollo comer
tu primo es profesor,primo tuyo profesor
mi prima,primo mujer mía
mi primo es abogada,primo mío abogada
nosotros somos sordos,nosotros sordos
mi amigo es científica,amigo mío científica
no puedo hacer eso,eso yo hacer poder no
la niña es alta,niña alta
murió ayer,ayer el morir
tienen que hacerlo,ellos hacer deber
mi novio come hamburguesa con papas en la cafetería,cafetería ahí novio mío hamburguesa papas comer
mi amigo es artista,amigo mío artista
él se divierte,él divertir
tu amiga está bien,amigo mujer tuya bien
mi prima es estudiante,primo mujer mía estudiante
mi abuela,abuelo mujer mía
tu gato juega con su peluche en la casa,casa ahí gato tuyo peluche jugar
niños,hombre ellos
mi hija,hijo mujer mía
mis amigas estudiarán en la biblioteca mañana,mañana biblioteca ahí amigos mujeres ellas estudiar
mi novio vive en México,México novio mío vivir
estamos preocupados,nosotros preocupados
mi abuela quiere aprender lsm,abuelo mujer mía lsm aprender querer
no les gusta el chocolate,ellos chocolate gustar no
mi abuelo está preocupado,abuelo mío preocupado
ellos son tímidos,ellos tímidos así
quieren aprender lsm,ustedes lsm aprender querer
ellos son desesperados,ellos desesperados así
vámonos,nosotros ir
no entiendo las matemáticas,yo matemáticas entender no
ellos entienden el alemán,ellos alemán entender
mi amiga está mal,amigo mujer mía mal
tu sobrina,sobrino mujer tuya
él está bien,él bien
tu abuela come una baguette en la cafetería,cafetería ahí abuelo mujer tuya baguette comer
su frente es amplia,frente suya amplia
tu novio come carne con paas,novio tuyo carne papas comer
mi perro juega con su peluche en la casa,casa ahí perro mío peluche jugar
tú estás masomenos,tú masomenos
la cena está servida,cena servida
ella está enojada,ella enojada
a mi abuela no le gusta platicar,abuelo mujer mía platicar gustar no
¿qué harás en la tarde?,¿futuro tarde tú hacer que?
quieres correr en la pista,pista ahí tú correr querer
no quiero comer,yo comer no querer
son tranquilos,ellos (as) (ustedes) tranquilos
mi mamá es alta,mamá alta
mi novia come pasta en la cafetería,cafetería ahí novio mujer mío pasta comer
nuestro amigo es distraído,amigo nuestro distraído así
mi mamá entiende el inglés,mamá mía inglés entender
tu papá es oyente,papá tuyo oyente
mi papá es sordo,papá mío sordo
tu tío está bien,tío tuyo bien
mi mamá es artista,mamá mía artista
mi tío está loco,tío mío loco
eres médico,tú médico
tu primo está enojado,primo tuyo enojado
los perros están asustados,perro cl+cl+cl asustados
el niño es gordo,niño gordo
mi tía está embarazada,tío mujer mía embarazada
mi amiga es profesora,amigo mujer mía profesora
tu hermano,hermano tuyo
tus perros están asustados,gato cl+cl+cl tuyos asustados
ustedes son enojones,ustedes enojones así
¿qué harás el próximo miércoles?,¿próximo miércoles tú hacer qué?
mi papá come pasta,papá mío pasta comer
mi abuela quiere correr en la pista,pista ahí abuelo mujer correr
tu papá es desesperado,papá tuyo desesperado
tu nombre es VANIA,tu nombre VANIA
tu abuelo trabaja de lunes a viernes,lunes a viernes abuelo tuyo trabajar
nosotros,nosotros
mi novio está loco,novio mío loco
"buenas tardes, ¿cómo te llamas?","buenas tardes, tú nombre"
tu tío está triste,tío tuyo triste
nos conocimos ahí ayer,ayer ahí nosotros conocer
tu prima es dentista,primo mujer tuya dentista
¿qué hiciste el jueves?,¿pasado jueves tú hacer qué?
tu amigo está preocupado,amigo tuyo preocupado
su abuela,abuela suya
niño,niño
mis primos tienen un carro,primo ellos míos carro tener
los perros juegan en el parque,parque ahí perro cl+cl+cl jugar
quieren dormir,ellos (as)/ustedes dormir querer
los perros son peludos,perro+perro+perro peludos
ustedes son abogados,ustedes abogados
las mesas,mesa+mesa+mesa
tu mamá es arquitecta,mamá tuya arquitecta
ustedes están enojadas,ustedes enojadas
tu tía es tímida,tío mujer tuya tímida así
mi mamá está confundida,mamá mía confundida
¿ella es oyente?,¿ella oyente?
"no, mi hermano es oyente","no, hermano mío sordo"
yo estoy triste,yo triste
las niñas juegan futbol en la calle,calle ahí niño mujer ellas futbol jugar
mi abuelo quiere descansar,abuelo mío descansar querer
nuestro hermano,hermano suyo
les gusta aprender,ellos aprender gustar
mi amiga entiende el español,amigo mujer mía español entender
tu amiga es enojona,amiga tuya enojona así
hace mucho calor,calor mucho
a mi abuelo le gusta el chocolate,abuelo mío chocolate gustar
tu papá quiere aprender alemán,papá tuyo alemán aprender querer
iremos a la universidad el próximo año,próximo año nosotros universidad ir
eres oyente,eres oyente
mi papá está apenado,papá mío apenado
tu amigo estaba leyendo un periódico ayer,ayer amigo tuyo periódico leer
tu amiga está preocupada,amigo mujer tuya preocupada
mi tía está loca,tía mía loca
tu hermana,hermano mujer tuya
mis amigos estudiarán en la biblioteca mañana,mañana biblioteca ahí amigos ellos estudiar
tu hermana es veterinaria,hermano mujer tuya veterinaria
mi primo,primo mío
ellos son alegres,ellos alegres así
mi prima es profesora,primo mujer mía profesora
tu abuelo es desesperado,abuelo tuyo desesperado así
a tu papá no le gusta el café,papá tuyo café gustar no
me agrada platicar,yo platicar gustar
mi prima es abogada,primo mujer mía abogada
estuve en el hospital la semana pasada,semana pasada hospital yo estar
tu abuela quiere aprender inglés,abuelo mujer tuya inglés aprender querer
irán,futuro ellos ir
tu hijo,hijo tuyo
mi tío entiende,tío mío entender
mi papá quiere aprender lsm,papá mío lsm aprender querer
¿qué harás el próximo sábado?,¿próximo sábado tú hacer qué?
¿podrías hablar más despacio por favor?,¿tú hablar más despacio poder por favor?
mis hijos viven en México,México hijo ellos míos vivir
soy hombre,yo hombre
los niños juegan a la pelota,niño ellos pelota jugar
sus perros,perro cl+cl+cl suyos
soy ingeniero,yo ingeniero
mi mamá fue al hospital ayer,ayer mamá mía hospital ir
mi amiga no entiende el francés,amigo mujer mía francés entender no
te gusta caminar,tú caminar gustar
"no, mi mamá es oyente","no, mamá mía oyente"
sus hermanos,hermano ellos suyos
voy al banco hoy,hoy yo banco ir
tu hija fue a la universidad,pasado hijo mujer tuya universidad ir
mi abuelo está triste,abuelo mío triste
mis hermanos,sobrino ellos
¿qué hiciste el martes?,¿pasado martes tú hacer qué?
el clima parece cálido,clima parece cálido
mi prima tiene un suéter gris,primo mujer mía suéter gris tener
comí curri ayer,ayer yo curri comer
tu tía es ingeniera,tío mujer tuya ingeniera
tu mamá es profesora,mamá tuya profesora
tu hermano come galletas,hermano tuyo galletas comer
ustedes son médicos,ustedes médicos
tu mamá fue al supermercado,pasado mamá tuya supermercado ir
mi amiga es ingeniera,amigo mujer mía ingeniera
tus ojos son cafés,ojos tuyos cafés
yo soy gentil,yo gentil
mañana hará calor,mañana calor
tu hermano come hamburguesa en la cafetería,cafetería ahí hermano tuyo hamburguesa comer
tu amiga está masomenos,amigo mujer tuya masomenos
tú entiendes el español,tú español entender no
tu novia come una hamburguesa con papas en la cafetería,cafetería ahí novio mujer tuya hamburguesa papas comer
tu mamá es ingeniera,mamá tuya ingeniera
leímos una revista ayer,ayer nosotros revista leer
hijas,hijo mujer ellas
mi novio es alto,novio alto
van,ellos ir
tu hermano quiere aprender alemán,hermano tuyo alemán aprender querer
lavadora,lavadora
¿a dónde fueron?,¿pasado ustedes (ellos) (ellas) ir dónde?
tu hijo,hijo tuyo
él quiere descansar,él descansar querer
mi prima quiere aprender a cocinar,primo mujer mía cocinar aprender querer
¡Ayuda!,Ayuda
les agrada leer,ellos leer gustar
ella siempre está contenta,siempre ella contenta
ustedes son profesores,ustedes profesores
su abuelo,abuelo suyo
tu tía está bien,tío mujer tuya bien
mi abuelo trabaja de lunes a viernes,lunes a viernes abuelo mío trabajar
el niño está enojado,niño enojado
mi mamá es médico,mamá mía médico
nosotros estamos locos,nosotros locos
ellas quieren comprar auto,ellas auto comprar querer
fui a ver a su hermana la semana pasada,"semana pasada hermana suya ella, yo ver"
la manzana es roja,manzana roja
le agrada caminar,el caminar gustar
ustedes comen un hotdog,ustedes hotdog comer
ustedes no entienden el español,ustedes español entender no
ellas son oyentes,ellas oyentes
tu amigo está triste,amigo tuyo triste
él es enojón,él enojón así
tu hijo fue a la universidad,¿pasado noche tú hacer qué?
mi prima es médico,primo mujer mía médico
ellas no quieren un abrazo,ellas abrazo no querer
a mi mamá no le agrada platicar,mamá mía platicar gustar no
te agrada el chocolate,tú chocolate agradar
él no quiere comer,él comer no querer
le gusta reír,el reír gustar
me gusta el café caliente,yo café caliente gustar
ellos comen caldo de pollo,ellos caldo pollo comer
ustedes son sordos,ustedes sordos
no quiero morir,yo morir no querer
me gusta platicar,yo platicar gustar
él está ocupado,él ocupado
mi tío está apenado,tío mío apenado
muchos árboles,árbol muchos
no quiere comer,él (ella) comer no querer
"no, mi tío es oyente","no, tío mío oyente"
su casa,casa suya
mi mamá está desesperada,mamá mía desesperada
te desagrada caminar,tú caminar gustar no
yo loco,yo loco
queremos aprender lsm,nosotros lsm aprender querer
¿qué harán en la noche?,¿futuro noche ellos (ellas) (ustedes) hacer que?
mi primo es artista,primo mío artista
tus amigos,amigo ellos tuyos
no les agrada comer helado,ellos comer helado gustar no
abuelo,abuelo
¿cómo?,¿cómo?
ustedes son agradables,ustedes agradables
mi hermano es médico,hermano mío médico
papá quiere bailar,papá bailar querer
mi prima estaba leyendo una revista ayer,ayer primo mujer mía revista leer
no quieren comer,ustedes comer no querer
ayer no comí,ayer yo comer nada
tu papá come una hamburguesa con papas,papá tuyo hamburguesa papas comer
tu tía es oyente,tío mujer tuya oyente
la ropa está mojada,ropa mojada
mi mamá es miedosa,mamá miedosa así
la maestra está enojada,maestro mujer ella enojada
ayer fue lunes,ayer lunes
él quiere dormir,él dormir querer
mi amiga está preocupada,amigo mujer mía preocupada
no quieren ir,ellos ir no querer
no les gusta reír,ellos reír gustar no
no te gusta sonreír,tú sonreír gustar no
tú eres simpática,tú simpática
mi mamá quiere aprender lsm,mamá mía lsm aprender querer
no queremos adoptar un perro,nosotros perro adoptar no querer
tienen que hacer eso,eso ellos hacer deber
mi abuelo estaba ocupado ayer,ayer abuelo mío ocupado
hombres,hombre ellos
mi mamá es profesora,mamá mía profesora
yo soy miedoso,yo miedoso así
nos agrada caminar,nosotros caminar gustar
a mi mamá le agrada platicar,mamá mía platicar gustar
no quiero llorar,yo llorar no querer
tu hijo irá la universidad,futuro hijo tuyo universidad ir
ustedes son distraídos,ustedes distraídos así
mi abuela irá a la iglesia la próxima semana,próxima semana abuelo mujer mía iglesia ir
él quiere un abrazo,él abrazo querer
a tu tío no le gusta el café,tío tuyo café gustar no
los niños están distraídos,niño ellos distraídos
mi novia quiere aprender inglés,novio mujer mía inglés aprender querer
murió ayer,ayer ella morir
el gato está arriba de la mesa,mesa cl gato cl
quiero aprender lsm,yo lsm aprender querer
mi abuela es distraída,abuelo mujer mía distraída así
mi amiga irá a la universidad la próxima semana,próxima semana amigo mujer mía universidad ir
no queremos comprar un auto,nosotros auto comprar no querer
¿tu hermana es oyente?,¿hermano mujer tuya oyente?
mi amigo es artista,amigo mío artista
hay tres libros en el estante,estante ahí libros tres haber
ellas estudian inglés todos los días,todos los días ellas inglés estudiar
los hombres parecen serios,hombre ellos parecen serios
nos agrada platicar,nosotros platicar gustar
mi amigo entiende el español,amigo mío español entender
mi amigo es abogada,amigo mío abogada
mi abuelo es distraído,abuelo mío distraído así
mi novio es alegre,novio mío alegre
tu abuela es miedosa,abuelo tuyo mía miedosa así
ellos nos vieron ayer,ayer nosotros ellos ver
recibí una carta la semana pasada,semana pasada yo carta recibir
¿qué harás el domingo?,¿domingo tú hacer qué?
las niñas quieren descansar,niño mujer ellas descansar
muchos esposos,esposo muchos
hay diez libros en el estante,estante ahí diez libros haber
mi tío es desesperado,tío mío desesperado así
la casa blanca es chica,casa blanca chica
tu novia es oyente,novio mujer tuya oyente
tu abuela está distraída,abuelo mujer tuya distraída
tu tía está enojada,tío mujer tuya enojada
nuestro primo,primo nuestro
hola papá. Buenas tardes,hola papá. Buenas tardes
el suéter es azul,suéter azul
ayer estuve ocupado,ayer yo ocupado estar
tu abuela está triste,abuelo mujer tuya triste
algunas ventanas,ventana algunas
¿qué harás hoy?,¿hoy tú hacer qué?
sobrino,sobrino
mi novio está desesperado,novio mío desesperado
tu abuela fue a la iglesia,pasado abuelo mujer tuya iglesia ir
tu tío está apenado,tío tuyo apenado
ellos están locos,ellos locos
mi abuelo vive en México,México abuelo mío vivir
nosotros somos felices,nosotros felices así
pocos niños,niño pocos
yo estoy distraída,yo distraída
abuelas,abuelo mujer ellas
mi amiga estudiará en la biblioteca mañana,mañana biblioteca ahí amigo mujer ellas estudiar
ustedes están locos,ustedes locos
"no, mi amiga es sorda","no, amigo mujer mía sorda"
yo loca,yo loca
mi novia está preocupada,novio mujer mía preocupada
nuestro sobrino,sobrino nuestro
¿dónde vives?,¿tú vivir dónde?
la guitarra de mi cuñado,cuñado mío guitarra suya
a mi papá le gusta el chocolate,papá mío chocolate gustar
pocos esposos,esposo pocos
tu prima estaba leyendo un periódico ayer,ayer primo mujer tuya periódico leer
no grites por favor,tú gritar no porfavor
quieres aprender inglés,tú inglés aprender querer
a tu hermano le gusta el café,hermano tuyo café gustar
no les gusta leer,ustedes leer gustar no
él es sordo,él sordo
el perro café es tuyo,perro café tuyo
tu papá es profesor,papá tuyo profesor
siempre están contentos,siempre ellos contentos
te desagrada pasear,tú pasear gustar no
ellas estudiarán matemáticas mañana,mañana ellas matemáticas estudiar
Él fue a Estados Unidos la semana pasada,semana pasada Estados Unidos él ir
el profesor estudia en la biblioteca,biblioteca ahí profesor estudiar
mi hija quiere correr en la pista,pista ahí hijo mujer mía correr
ellos son científicos,ellos científicos
estoy masomenos,masomenos
mi amigo fue al supermercado,pasado amigo mío supermercado ir
mi amiga fue al teatro ayer,ayer amigo mujer mía teatro ir
corre,él correr
no me gusta la pizza,yo pizza gustar no
a mi hermano no le gusta platicar,hermano mío platicar gustar no
él es tranquilo,él tranquilo
no hay opción,opción haber no
mi novio está confundido,novio mío confundido
mi amigo estaba leyendo un libro ayer,ayer amigo mío libro leer
mi novia irá a la universidad la próxima semana,próxima semana novio mujer mía universidad ir
ella tiene una bicicleta gris,ella bicicleta gris tener
mi tío juega futbol en la calle,calle ahí tío mío futbol jugar
tú te admiras a ti mismo,tú solita admirar
no quieres trabajar,tú trabajar no querer
queremos dormir,nosotros dormir querer
"si, él es sordo","si, él sordo"
"no, mi hijo es oyente","no, hijo mío oyente"
quieres un abrazo,tú abrazo querer
mi abuelo estaba leyendo una revista ayer,ayer abuelo mío revista leer
ellos no entienden el español,ellos español entender no
mi hermana es profesora,hermano mujer mía profesora
no me gusta caminar,yo caminar gustar no
mi mamá vive en México,México mamá mía vivir
hace frío,frío
mi tía es arquitecta,tío mujer mía arquitecta
los niños estudian,niños ellos estudiar
mi hija va a la escuela de lunes a viernes,lunes a viernes hijo mujer mío escuela ir
ustedes caminan,ustedes caminar
mi tía está confundida,tía mía confundida
los autos,auto+auto+auto
mi tío está alegre,tío mío alegre
ayer hizo calor,ayer calor
